"x","predicted","std.error","conf.low","conf.high","group","group_col","Condition"
-2.5,38996.6636976631,1168.20111568733,36707.0315842164,41286.2958111098,"control","control","Control"
-2.5,39152.0536004111,1168.20111568733,36862.4214869644,41441.6857138578,"support","support","Support"
-2,39055.8589797523,975.279210594178,37144.3468521171,40967.3711073876,"control","control","Control"
-2,39386.9203408355,975.279210594178,37475.4082132003,41298.4324684708,"support","support","Support"
-1.5,39115.0542618415,790.934407681595,37564.8513086521,40665.257215031,"control","control","Control"
-1.5,39621.78708126,790.934407681595,38071.5841280705,41171.9900344494,"support","support","Support"
-1,39174.2495439307,622.829786222063,37953.5255944367,40394.9734934247,"control","control","Control"
-1,39856.6538216844,622.829786222063,38635.9298721904,41077.3777711784,"support","support","Support"
-0.5,39233.4448260199,488.045750590618,38276.8927320545,40189.9969199853,"control","control","Control"
-0.5,40091.5205621088,488.045750590618,39134.9684681434,41048.0726560742,"support","support","Support"
0,39292.6401081091,419.990920672163,38469.4730297578,40115.8071864603,"control","control","Control"
0,40326.3873025332,419.990920672163,39503.220224182,41149.5543808845,"support","support","Support"
0.5,39351.8353901983,450.031219959123,38469.7904071598,40233.8803732368,"control","control","Control"
0.5,40561.2540429577,450.031219959123,39679.2090599192,41443.2990259962,"support","support","Support"
1,39411.0306722875,562.668491335791,38308.2206940338,40513.8406505411,"control","control","Control"
1,40796.1207833821,562.668491335791,39693.3108051285,41898.9307616357,"support","support","Support"
1.5,39470.2259543767,720.135799734778,38058.7857229186,40881.6661858348,"control","control","Control"
1.5,41030.9875238065,720.135799734777,39619.5472923484,42442.4277552646,"support","support","Support"
2,39529.4212364659,899.181469832732,37767.0579400279,41291.7845329038,"control","control","Control"
2,41265.854264231,899.181469832732,39503.490967793,43028.2175606689,"support","support","Support"
